cast,date_purch,qty,mat_name
2500.00,2025-01-05,50,Carbon Fiber
1200.50,2025-01-12,100,Poplar Wood Core
450.00,2025-02-01,200,Steel Edge
800.00,2025-02-20,75,Polyethylene Base
1500.00,2025-03-10,120,Fiberglass
2500.00,2025-04-05,50,Carbon Fiber
1200.50,2025-05-12,100,Poplar Wood Core
450.00,2025-06-01,200,Steel Edge
800.00,2025-07-20,75,Polyethylene Base
1500.00,2025-08-10,120,Fiberglass
2500.00,2025-09-05,50,Carbon Fiber
1200.50,2025-10-12,100,Poplar Wood Core
450.00,2025-11-01,200,Steel Edge
800.00,2025-12-20,75,Polyethylene Base
1500.00,2026-01-10,120,Fiberglass
2500.00,2026-02-05,50,Carbon Fiber
1200.50,2026-02-25,100,Poplar Wood Core
450.00,2026-03-01,200,Steel Edge
800.00,2026-03-20,75,Polyethylene Base
1500.00,2026-04-01,120,Fiberglass